corpus	local_name	bytes	sha256	source_url
ietf	minutes-100-ippm.txt	15190	82ebc8bc127607a87d759668effce790316e96f4923f167ba9951830329268f8	https://www.ietf.org/proceedings/100/minutes/minutes-100-ippm-00.txt
ietf	minutes-100-ipsecme.txt	8865	9f0edd065379e2c7b8f51c4dd7c21249145a1d9a4012dc098e324caadcb461b9	https://www.ietf.org/proceedings/100/minutes/minutes-100-ipsecme-00.txt
ietf	minutes-100-ipwave.txt	3310	ce963a55d25fa501be780fb66560b6a4e6a546e2db21d5bc36974eeb08349ad7	https://www.ietf.org/proceedings/100/minutes/minutes-100-ipwave-00.txt
ietf	minutes-100-irtfopen.txt	12228	260f055824eb569817d42d78f26566c3fdbad266e79441c7bbe8af496f13a65e	https://www.ietf.org/proceedings/100/minutes/minutes-100-irtfopen-00.txt
ietf	minutes-100-isis.txt	6642	9c24bd9daa1bee766614d5155ec7d33e5c0cc44b00a35456ec0d8d6c6524cbf3	https://www.ietf.org/proceedings/100/minutes/minutes-100-isis-00.txt
ietf	minutes-100-jmap.txt	4163	9dafbd5eb11794f7eef86fc02610db38e0ecb2327be7df66e7605c7475986d96	https://www.ietf.org/proceedings/100/minutes/minutes-100-jmap-00.txt
ietf	minutes-100-l2sm.txt	3525	43c7a7f51848c55b102ce0b4f384ea43feca1a9f294615b39ca7491128ed5c9f	https://www.ietf.org/proceedings/100/minutes/minutes-100-l2sm-00.txt
ietf	minutes-100-lamps.txt	2706	6020ae17c7deb0bf11046a47ed28256fee321d5c506bdcf98bb35dcb3123e637	https://www.ietf.org/proceedings/100/minutes/minutes-100-lamps-01.txt
ietf	minutes-100-lisp.txt	33862	fefaa5162a503a6a34b29f1b92e5f60672e7cace894bedaeb309c5f0762dc6b9	https://www.ietf.org/proceedings/100/minutes/minutes-100-lisp-00.txt
ietf	minutes-100-lpwan.txt	19230	d7ceba7113e978173cedb15171293da03f67bbf90a1f8783702073cd79de12dd	https://www.ietf.org/proceedings/100/minutes/minutes-100-lpwan-02.txt
ietf	minutes-100-lwig.txt	5787	9be44f9359e6ffa97bc3e1fd88a2a0ad781edffe04e246e706d632329ebe3e7f	https://www.ietf.org/proceedings/100/minutes/minutes-100-lwig-00.txt
ietf	minutes-100-manet.txt	8654	3873e1c1db6b0fdd4d306432e300c76be4fb3a881775d589bb66842f80c46c1c	https://www.ietf.org/proceedings/100/minutes/minutes-100-manet-00.txt
ietf	minutes-100-maprg.txt	10126	8facd98a20703b539d43ad211d01ff88ac409861da14a6b884a37c685de6e9b1	https://www.ietf.org/proceedings/100/minutes/minutes-100-maprg-00.txt
ietf	minutes-100-mboned.txt	1716	0d553c8c67b21eba9ab88380df58c588fe16b74e3c31ee3866a29a4c657cf0d8	https://www.ietf.org/proceedings/100/minutes/minutes-100-mboned-01.txt
ietf	minutes-100-mile.txt	7502	017eee0c8ecf994530cd856a93cc78c9810d1773eef983118f8986ec96ac1cd1	https://www.ietf.org/proceedings/100/minutes/minutes-100-mile-00.txt
ietf	minutes-100-modern.txt	2423	a97ff38cda32cbe2c955437d41c6b5e9477cde07e6a6bbfc15c307d1c13815cf	https://www.ietf.org/proceedings/100/minutes/minutes-100-modern-00.txt
ietf	minutes-100-mpls.txt	8062	3a281b3c0df648869754b24d4966c7ac1c71049eff212d74afe10851d2fde80e	https://www.ietf.org/proceedings/100/minutes/minutes-100-mpls-00.txt
ietf	minutes-100-mptcp.txt	3260	cc50e101fb3b6188664622e4b9630b47c3ba91c84c518972510db8e579f46c55	https://www.ietf.org/proceedings/100/minutes/minutes-100-mptcp-00.txt
ietf	minutes-100-netconf.txt	15405	e0e4926869bf3420e7de4d2a4529238d78a4694b8941df35848db07d02a69fcc	https://www.ietf.org/proceedings/100/minutes/minutes-100-netconf-01.txt
ietf	minutes-100-netmod.txt	23675	e943ba9edd2102564b2b60c52d117d718c51f1bfd9202feb41e86b565a0167e1	https://www.ietf.org/proceedings/100/minutes/minutes-100-netmod-00.txt
ietf	minutes-100-netvc.txt	5685	86b9f6d6c8bf4a4d579c605d8141bdb475006af741d82f2be12c6a095d6b809a	https://www.ietf.org/proceedings/100/minutes/minutes-100-netvc-00.txt
ietf	minutes-100-nmrg.txt	13784	a0d2e18c1746ee994506d8c79dfc52e7428f2a298e849a4f45b234c637361408	https://www.ietf.org/proceedings/100/minutes/minutes-100-nmrg-01.txt
ietf	minutes-100-ntp.txt	9430	181deea621f71edaac8585d1a0ebd73e810eaad2ecb245e2782cfab9444b113a	https://www.ietf.org/proceedings/100/minutes/minutes-100-ntp-01.txt
ietf	minutes-100-nwcrg.txt	9197	f3c6e0736a7c7317d632b10cc410c02946706c4ca1d988b3d43167eeb264eb74	https://www.ietf.org/proceedings/100/minutes/minutes-100-nwcrg-00.txt
ietf	minutes-100-oauth.txt	5749	2e2191a0b79033fe7554873ef44225e94c34fd14d9ce28ad4c1c9461296085d1	https://www.ietf.org/proceedings/100/minutes/minutes-100-oauth-00.txt
ietf	minutes-100-opsawg.txt	8494	3b8ec325dd175db745a8c006b77681ead2549a4f3665cc3f8b0701e080ea238b	https://www.ietf.org/proceedings/100/minutes/minutes-100-opsawg-00.txt
ietf	minutes-100-opsec.txt	5169	45ae2ea1807bc139720f6544abc21640e2acef9563efa435bdda5aec581f7041	https://www.ietf.org/proceedings/100/minutes/minutes-100-opsec-00.txt
ietf	minutes-100-ospf.txt	6642	9c24bd9daa1bee766614d5155ec7d33e5c0cc44b00a35456ec0d8d6c6524cbf3	https://www.ietf.org/proceedings/100/minutes/minutes-100-ospf-00.txt
